iter	RMSE
0	0.6082758351
1	0.604348006
2	0.6005717899
3	0.5970156452
4	0.5932879048
5	0.5898449904
6	0.5865620879
7	0.5834361802
8	0.5802895212
9	0.5775431667
10	0.5750109537
11	0.5724232296
12	0.570175382
13	0.5681955254
14	0.5660252115
15	0.5637395985
16	0.5615703798
17	0.5597661317
18	0.5577794048
19	0.5559698794
20	0.5541478182
21	0.5525726448
22	0.5510572067
23	0.5495322131
24	0.5481645234
25	0.5468241129
26	0.545365954
27	0.5441197974
28	0.5428309018
29	0.5414253794
30	0.5403309989
31	0.5391679528
32	0.5380679998
33	0.536859057
34	0.535770963
35	0.5346983785
36	0.5336835795
37	0.5328600677
38	0.5319875302
39	0.5310596401
40	0.5301834897
41	0.5295456527
42	0.5287165571
43	0.5280096956
44	0.5271302693
45	0.5264057933
46	0.525684291
47	0.52507142
48	0.5243298338
49	0.5236491489
50	0.5229100376
51	0.5221764465
52	0.5217479779
53	0.5211254432
54	0.5202775269
55	0.5197019325
56	0.5192323819
57	0.5186125874
58	0.5181604431
59	0.5175859176
60	0.5171164917
61	0.5166570716
62	0.5161411482
63	0.5155156046
64	0.5151436193
65	0.5147513115
66	0.5142821644
67	0.5138868177
68	0.5133444439
69	0.5129965331
70	0.5125696357
71	0.5121812118
72	0.511703364
73	0.5113952135
74	0.5111254776
75	0.5107514866
76	0.5104247842
77	0.5101842727
78	0.5098878865
79	0.5095208958
80	0.5091351191
81	0.5088082479
82	0.5082693112
83	0.507941071
84	0.5075263491
85	0.5071567841
86	0.5070590368
87	0.5067905211
88	0.5063858662
89	0.5059615182
90	0.5057181961
91	0.5053930485
92	0.5050061445
93	0.5047220907
94	0.5043736639
95	0.5039055178
96	0.5035441795
97	0.5032405764
98	0.5027693848
99	0.50239932
100	0.5020925723
101	0.5019067122
102	0.501500181
103	0.5012346833
104	0.5009107449
105	0.5005560306
106	0.5001996348
107	0.4997527064
108	0.4995315981
109	0.4991773595
110	0.4989278022
111	0.4986643081
112	0.4984591539
113	0.4981912581
114	0.4979704285
115	0.4977955069
116	0.4975806687
117	0.4972499751
118	0.4969670989
119	0.4967068364
120	0.4964118821
121	0.4961815111
122	0.49602728
123	0.4957585477
124	0.4956566841
125	0.4953730815
126	0.495179043
127	0.4949699916
128	0.4947023444
129	0.4944809659
130	0.4942220712
131	0.4940540218
132	0.4939072298
133	0.4936823585
134	0.4934959358
135	0.493162207
136	0.49301774
137	0.4928405798
138	0.4925642273
139	0.4923623622
140	0.4921203909
141	0.4919403271
142	0.4916809886
143	0.4914790074
144	0.4912127827
145	0.4909731426
146	0.4906644236
147	0.4904147002
148	0.4901625828
149	0.4899721422
150	0.4898192127
151	0.4895506577
152	0.489422573
153	0.4891290526
154	0.4889551513
155	0.4887766975
156	0.4886076035
157	0.4884917276
158	0.4883674106
159	0.4882630873
160	0.4880125755
161	0.4878441161
162	0.4876125766
163	0.4874647013
164	0.4872105449
165	0.4870110654
166	0.4867898511
167	0.4864946624
168	0.486304585
169	0.4861738433
170	0.4860018241
171	0.4858389466
172	0.4856083485
173	0.4854155346
174	0.4852079545
175	0.4850881819
176	0.4849955358
177	0.4848723161
178	0.4846950033
179	0.4843744466
180	0.4841936049
181	0.4840715534
182	0.4838758821
183	0.4836691681
184	0.4834301603
185	0.4832032776
186	0.4831037537
187	0.4829027125
188	0.4827044859
189	0.4824346265
190	0.4822741311
191	0.4820176829
192	0.4818300396
193	0.4816984694
194	0.4813762603
195	0.4812077077
196	0.480992677
197	0.4807887016
198	0.4806434633
199	0.4805753976
200	0.4804295008
201	0.4802512914
202	0.48011178
203	0.4799524664
204	0.4797710077
205	0.4795372754
206	0.4793780611
207	0.4790118707
208	0.4788894514
209	0.4786862083
210	0.478522438
211	0.4784012411
212	0.4782601957
213	0.4782013064
214	0.4780866756
215	0.4778623936
216	0.4775218897
217	0.4774407127
218	0.4772001842
219	0.4770061789
220	0.4768350145
221	0.4766561193
222	0.4764309593
223	0.4762571966
224	0.4759842767
225	0.4757744034
226	0.4755942502
227	0.4754646264
228	0.4753544057
229	0.475100048
230	0.4749684688
231	0.4748160041
232	0.4745666489
233	0.4743936854
234	0.4742014295
235	0.4740040243
236	0.4738162833
237	0.4736414105
238	0.4734923256
239	0.4733289291
240	0.4731313052
241	0.4730700607
242	0.4729777303
243	0.4728418009
244	0.4726095128
245	0.4724009149
246	0.4723006502
247	0.4720261446
248	0.4718364193
249	0.4714650693
250	0.4712841292
251	0.4710868877
252	0.4709676624
253	0.4707497812
254	0.4704711784
255	0.4703175523
256	0.4701003572
257	0.4699282861
258	0.4698179363
259	0.4696105524
260	0.4694866744
261	0.4693954184
262	0.4691630871
263	0.4688796779
264	0.4687506531
265	0.4686848335
266	0.4685063549
267	0.4683622185
268	0.4682164613
269	0.4680823384
270	0.467867809
271	0.4676897518
272	0.4676206628
273	0.4673978903
274	0.4671587463
275	0.4669826045
276	0.4667863646
277	0.4665388812
278	0.4664496141
279	0.4663410551
280	0.4662171025
281	0.4660678666
282	0.4659754211
283	0.4657329459
284	0.4656233946
285	0.4655095055
286	0.4654539147
287	0.465334935
288	0.4651532365
289	0.4649621612
290	0.4645920904
291	0.4643603865
292	0.4642149828
293	0.4638131406
294	0.4637114263
295	0.4636320528
296	0.4633698202
297	0.4632346463
298	0.4631067716
299	0.4629367296
