iter	Passed	Remaining
0	1	451
1	2	433
2	4	411
3	5	393
4	6	388
5	7	388
6	9	395
7	10	395
8	12	392
9	13	388
10	14	384
11	15	380
12	17	376
13	18	373
14	19	370
15	20	368
16	21	365
17	23	365
18	24	365
19	26	365
20	27	363
21	28	362
22	29	360
23	31	359
24	32	358
25	33	356
26	35	355
27	36	354
28	37	353
29	39	352
30	40	351
31	41	349
32	42	347
33	44	345
34	45	343
35	46	342
36	48	341
37	49	339
38	50	338
39	51	337
40	53	338
41	54	336
42	56	335
43	57	334
44	58	332
45	60	331
46	61	330
47	62	328
48	63	327
49	65	325
50	66	323
51	67	322
52	69	321
53	70	320
54	71	319
55	72	317
56	74	315
57	75	314
58	76	313
59	77	311
60	79	309
61	80	308
62	81	306
63	82	305
64	84	304
65	85	302
66	86	301
67	87	300
68	89	298
69	90	297
70	91	295
71	92	294
72	94	293
73	95	291
74	96	290
75	98	288
76	99	288
77	101	287
78	102	286
79	103	285
80	105	285
81	106	283
82	108	282
83	109	280
84	110	279
85	111	277
86	112	275
87	113	273
88	114	272
89	116	271
90	117	270
91	119	269
92	120	267
93	121	266
94	122	265
95	124	263
96	125	262
97	126	261
98	128	259
99	129	258
100	130	257
101	132	256
102	133	254
103	134	253
104	135	252
105	137	251
106	138	250
107	139	248
108	141	247
109	142	246
110	143	244
111	145	243
112	146	242
113	147	241
114	149	239
115	150	238
116	151	236
117	152	235
118	153	234
119	155	232
120	156	231
121	157	229
122	158	228
123	160	227
124	161	225
125	162	224
126	163	223
127	165	221
128	166	220
129	167	219
130	169	218
131	170	216
132	171	215
133	172	214
134	174	212
135	175	211
136	176	210
137	177	208
138	179	207
139	180	206
140	181	204
141	182	203
142	184	202
143	185	200
144	186	199
145	187	198
146	189	196
147	190	195
148	191	194
149	193	193
150	194	191
151	195	190
152	196	189
153	198	187
154	199	186
155	200	185
156	202	184
157	203	182
158	204	181
159	205	180
160	207	178
161	208	177
162	209	176
163	211	175
164	212	173
165	213	172
166	215	171
167	216	169
168	217	168
169	218	167
170	220	166
171	221	164
172	222	163
173	224	162
174	225	160
175	226	159
176	227	158
177	229	157
178	230	155
179	231	154
180	233	153
181	234	151
182	235	150
183	236	149
184	238	147
185	239	146
186	240	145
187	241	144
188	243	142
189	244	141
190	245	140
191	247	138
192	248	137
193	249	136
194	250	135
195	252	133
196	253	132
197	254	131
198	256	129
199	257	128
200	258	127
201	259	126
202	260	124
203	262	123
204	263	122
205	264	120
206	265	119
207	267	118
208	268	116
209	269	115
210	271	114
211	272	113
212	274	111
213	275	110
214	276	109
215	278	108
216	279	106
217	280	105
218	282	104
219	283	103
220	284	101
221	286	100
222	287	99
223	288	97
224	290	96
225	291	95
226	292	94
227	293	92
228	295	91
229	296	90
230	297	88
231	299	87
232	300	86
233	301	85
234	303	83
235	304	82
236	305	81
237	307	79
238	308	78
239	309	77
240	310	76
241	312	74
242	313	73
243	315	72
244	316	71
245	317	69
246	319	68
247	320	67
248	321	65
249	323	64
250	324	63
251	326	62
252	327	60
253	328	59
254	330	58
255	331	57
256	333	55
257	334	54
258	335	53
259	336	51
260	338	50
261	339	49
262	341	48
263	342	46
264	344	45
265	345	44
266	347	42
267	348	41
268	349	40
269	351	39
270	352	37
271	354	36
272	355	35
273	356	33
274	358	32
275	359	31
276	360	29
277	362	28
278	363	27
279	364	26
280	366	24
281	367	23
282	368	22
283	369	20
284	371	19
285	372	18
286	373	16
287	375	15
288	376	14
289	377	13
290	379	11
291	380	10
292	381	9
293	383	7
294	384	6
295	385	5
296	387	3
297	388	2
298	389	1
299	391	0
